feature,feature_readable,feature_level,feature_type,coefficient,pct_effect_1_unit,effect_1_unit_label,pct_effect_100_units,effect_100_units_label,pct_effect_1000_units,effect_1000_units_label
num__emp_dist_m,Emp Dist M,,numeric,-9.512566590390459e-05,-0.0095121141601208,-0.009512%,-0.9467465251944507,-0.947%,-9.074133552349362,-9.074%
num__LAND_SF,Land Sf,,numeric,4.7936582562588105e-05,0.004793773153892125,0.004794%,0.48051662170601533,0.481%,4.9104121719819736,4.910%
num__neighborhood_walkability,Neighborhood Walkability,,numeric,0.0035350326463360724,0.3541288243315941,0.354129%,42.404763593755,42.405%,3329.6134339080536,3329.613%
cat__INT_COND_A - Average,Int Cond,A - Average,categorical,-0.06896233440393693,-6.663816495400908,-6.663816%,,N/A (categorical),,N/A (categorical)
cat__INT_COND_E - Excellent,Int Cond,E - Excellent,categorical,0.6571269691103412,92.9241593802946,92.924159%,,N/A (categorical),,N/A (categorical)
cat__INT_COND_F - Fair,Int Cond,F - Fair,categorical,-0.24660532274951802,-21.855094716026173,-21.855095%,,N/A (categorical),,N/A (categorical)
cat__INT_COND_G - Good,Int Cond,G - Good,categorical,0.11546279386654607,12.23927538768191,12.239275%,,N/A (categorical),,N/A (categorical)
cat__INT_COND_P - Poor,Int Cond,P - Poor,categorical,-0.45702210580809255,-36.68336567456196,-36.683366%,,N/A (categorical),,N/A (categorical)
cat__LU_A,Lu,A,categorical,-0.9433538857673871,-61.06800912346174,-61.068009%,,N/A (categorical),,N/A (categorical)
cat__LU_CM,Lu,CM,categorical,0.5849178969438632,79.48436174440134,79.484362%,,N/A (categorical),,N/A (categorical)
cat__LU_R1,Lu,R1,categorical,-0.2318863083796737,-20.696372023880656,-20.696372%,,N/A (categorical),,N/A (categorical)
cat__LU_R2,Lu,R2,categorical,-0.11978762396066767,-11.28911826302292,-11.289118%,,N/A (categorical),,N/A (categorical)
cat__LU_R3,Lu,R3,categorical,0.04536431429309293,4.640901223445945,4.640901%,,N/A (categorical),,N/A (categorical)
cat__LU_R4,Lu,R4,categorical,0.2760287382029793,31.788573715091573,31.788574%,,N/A (categorical),,N/A (categorical)
cat__LU_RC,Lu,RC,categorical,0.3887168686687538,47.50868489002895,47.508685%,,N/A (categorical),,N/A (categorical)
