categorical_feature,output_value,coefficient,pct_relative_to_baseline,pct_relative_to_baseline_label
Int Cond,A - Average,-0.06896233440393693,-6.663816495400908,-6.663816%
Int Cond,E - Excellent,0.6571269691103412,92.9241593802946,92.924159%
Int Cond,F - Fair,-0.24660532274951802,-21.855094716026173,-21.855095%
Int Cond,G - Good,0.11546279386654607,12.23927538768191,12.239275%
Int Cond,P - Poor,-0.45702210580809255,-36.68336567456196,-36.683366%
Lu,A,-0.9433538857673871,-61.06800912346174,-61.068009%
Lu,CM,0.5849178969438632,79.48436174440134,79.484362%
Lu,R1,-0.2318863083796737,-20.696372023880656,-20.696372%
Lu,R2,-0.11978762396066767,-11.28911826302292,-11.289118%
Lu,R3,0.04536431429309293,4.640901223445945,4.640901%
Lu,R4,0.2760287382029793,31.788573715091573,31.788574%
Lu,RC,0.3887168686687538,47.50868489002895,47.508685%
