n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error
4,"BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.48460332139830276,0.5172519300645703,-0.14871436624849377,888812.7884834611,1.0,
4,"TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.48061235498992816,0.519250734358744,-1.479584134193186,1020349.2980597803,1.0,
5,"LIVING_AREA, BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4721039250800809,0.5234865509479768,-0.8170497409499242,953427.4262984451,1.0,
3,"RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.47026293645033,0.5243985619133993,0.11310618123954541,893482.8210154305,1.0,
5,"LIVING_AREA, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4697636917578011,0.5246456104611599,-1.2325450574396268,1023912.2907528748,1.0,
4,"LIVING_AREA, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4658103904712557,0.5265977877526286,-0.31656635808121303,908964.3499277494,1.0,
3,"BED_RMS, RES_FLOOR, INT_COND",16000,4000,0.4585963146238644,0.5301416384552063,-2.5338527386773904,1088959.6002430334,1.0,
2,"RES_FLOOR, INT_COND",16000,4000,0.45456225128275773,0.5321130472142536,-2.02118737450458,1034932.6551087005,1.0,
6,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.44646737836872985,0.5360470648540167,-3.2634266534284544,1167173.0764778142,1.0,
5,"LAND_SF, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.44322293405565527,0.537615747303651,0.005289158389672477,888415.7506339329,1.0,
5,"BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.44312409035913736,0.5376634661957973,-2.5154757401191086,1085615.2236734766,1.0,
5,"LAND_SF, BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4398451062164769,0.5392440718229446,0.029537175200663457,905960.3811279426,1.0,
3,"BED_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.43907655614172003,0.539613874906811,-0.18543811627507667,918393.1454555679,1.0,
2,"RES_FLOOR, emp_dist_m",16000,4000,0.4363952170265355,0.5409020745841634,0.1275278492350228,912281.1946914091,1.0,
5,"YR_BUILT, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.43508807113274706,0.5415289575264598,-0.04080499495237855,889365.309922287,1.0,
6,"YR_BUILT, LIVING_AREA, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.43497700124192396,0.5415821911394674,-0.771887700975437,955024.0234445966,1.0,
3,"TT_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.43470863678878036,0.5417107913513726,-1.7283074153767641,1062469.502693536,1.0,
6,"YR_BUILT, LIVING_AREA, BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.43237964009466745,0.5428255667614285,-0.816746265687508,981459.2474565234,1.0,
6,"LIVING_AREA, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.4316475745995382,0.5431754976751683,-0.7924355610078055,972181.0546787251,1.0,
4,"LIVING_AREA, BED_RMS, RES_FLOOR, INT_COND",16000,4000,0.43112230380426586,0.5434264408589623,-2.4053836671985076,1128243.5695800807,1.0,
5,"YR_BUILT, BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4309343796225894,0.543516191729316,0.420502850318748,867838.7008459117,1.0,
5,"TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.43059632838937145,0.5436776046081202,-0.08536795575057776,913852.9983896127,1.0,
6,"LIVING_AREA, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.4305102692257782,0.5437186885302061,-0.7749627948264548,958214.6323460111,1.0,
6,"LIVING_AREA, BED_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.42928859146831577,0.5443015727637683,-0.803620473013096,977993.8258327529,1.0,
6,"LIVING_AREA, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.4284593896988771,0.5446968443494011,-0.7759045977393588,959985.379505091,1.0,
6,"LIVING_AREA, BED_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.427660545111923,0.545077373903107,-0.8207249313517009,984020.508225311,1.0,
5,"TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.4268898450383277,0.5454442452084882,-0.04475500490636364,892688.0957072516,1.0,
5,"BED_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.42681510252926746,0.5454798112702491,0.47870105713322064,856370.5194314645,1.0,
5,"TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.42645034802287873,0.5456533456537368,-0.045820437432319006,893722.5984650045,1.0,
6,"LIVING_AREA, BED_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.4256622288513521,0.5460281102729306,-0.822073012231203,985371.1634940134,1.0,
4,"LAND_SF, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4254773340716661,0.5461159937696083,0.2085518445811353,895713.164723579,1.0,
3,"TT_RMS, RES_FLOOR, INT_COND",16000,4000,0.42540665395888433,0.5461495854407691,-2.523264971045892,1082175.604477923,1.0,
1,RES_FLOOR,16000,4000,0.42507575440551915,0.5463068224189374,-2.020813415727077,1057049.7891672053,1.0,
3,"LIVING_AREA, RES_FLOOR, emp_dist_m",16000,4000,0.4238677117690066,0.5468804767929789,-0.3329726966180746,939020.0117765311,1.0,
6,"LAND_SF, LIVING_AREA, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.42384068321379054,0.5468933047633138,-0.7720134924372859,957363.5224175466,1.0,
4,"LIVING_AREA, BED_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.4234357018228543,0.5470854761807644,-0.8403105561227899,983021.0549307923,1.0,
6,"LAND_SF, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4233555496705024,0.5471235019089494,-1.9257519359064132,1090398.6062235292,1.0,
7,"YR_BUILT, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4225142904220758,0.5475224522123754,-0.9695498098648385,1043972.3655912078,1.0,
5,"YR_BUILT, LIVING_AREA, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.42234360514209357,0.547603360810683,-0.49302321839491126,963669.6195832391,1.0,
5,"BED_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.42234183639286016,0.5476041991743641,0.46465718927780775,862811.0203849738,1.0,
5,"BED_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.42198446948105206,0.5477735600321989,0.44997377138459327,866266.0125049698,1.0,
6,"LAND_SF, LIVING_AREA, BED_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.42173987481596054,0.5478894464680174,-0.8113613234022883,979298.5417518369,1.0,
4,"LIVING_AREA, TT_RMS, RES_FLOOR, emp_dist_m",16000,4000,0.42081275379215066,0.5483284845092397,-1.3352102786165658,1061970.481401246,1.0,
5,"LIVING_AREA, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.42021212313972256,0.548612725536415,-0.5032420431657674,966081.2127964125,1.0,
7,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, neighborhood_walkability, emp_dist_m, INT_COND",16000,4000,0.41978613600479986,0.5488142294495719,-0.8559074366291195,1034190.063272329,1.0,
7,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, NUM_PARKING, emp_dist_m, INT_COND",16000,4000,0.4190029523753953,0.5491845044455621,-1.7049779595036578,1085195.545121126,1.0,
7,"LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, median_hh_income, emp_dist_m, INT_COND",16000,4000,0.4174397723182217,0.5499228021787738,-0.8768514413446562,1037950.8191702449,1.0,
6,"YR_BUILT, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4166602968805596,0.5502905822010917,-1.7636387873900525,1082830.0872457935,1.0,
4,"LIVING_AREA, TT_RMS, RES_FLOOR, INT_COND",16000,4000,0.41620189512192973,0.550506755240548,-3.258420873675261,1172355.655740316,1.0,
4,"LAND_SF, BED_RMS, RES_FLOOR, INT_COND",16000,4000,0.4158606573988446,0.5506676209811285,-0.01044572787948872,914345.2384388901,1.0,
7,"LAND_SF, LIVING_AREA, BED_RMS, TT_RMS, RES_FLOOR, emp_dist_m, INT_COND",16000,4000,0.4158147227075951,0.5506892718510947,-1.7921823441408744,1104174.3405506148,1.0,
