n_features,features,rows_train,rows_test,r2_log,rmse_log,r2_level,mae_level,alpha,error,balanced_holdout_score
6,"LU, LAND_SF, INT_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8391086854348304,0.2432726982787618,0.7910901592374014,248265.0934289533,1.0,,1.0
6,"LU, LAND_SF, INT_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.8366596963269534,0.24511717994632937,0.7827924624658829,248672.87336228025,1.0,,0.5928632634686651
6,"LU, LAND_SF, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.834567325026547,0.24668214617256834,0.7863831899129501,251601.03756302618,1.0,,0.3343152731843958
6,"LU, LAND_SF, OVERALL_COND, RES_FLOOR, neighborhood_walkability, neighborhood_name",55188,13797,0.831295143315796,0.24910982965536155,0.7816275034986069,251558.22167810757,1.0,,0.0032086782030684305
6,"LIVING_AREA, INT_COND, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8149142928668884,0.2609236910084892,0.8677176007162735,243898.70512442724,1.0,,
6,"LU, LIVING_AREA, INT_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8201436009752571,0.25721128501196655,0.8668269936959582,241250.67358739677,1.0,,
6,"LU, LIVING_AREA, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8051167484349759,0.2677406606422342,0.8666232583459585,243539.88221348752,1.0,,
6,"LIVING_AREA, INT_COND, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8095513704041938,0.2646768748517169,0.86175949112336,250389.28207805447,1.0,,
6,"LIVING_AREA, LAND_SF, INT_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8077652134571536,0.2659151382986979,0.861417670942231,251923.64374080364,1.0,,
5,"LIVING_AREA, INT_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8075596900827514,0.2660572488341872,0.8609310403818893,251950.9899424588,1.0,,
6,"LU, LIVING_AREA, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8193710657078314,0.2577630915457165,0.860807281118455,244142.33799058842,1.0,,
6,"LU, LIVING_AREA, BLDG_TYPE, neighborhood_walkability, emp_dist_m, neighborhood_name",55188,13797,0.7818911690538812,0.28324594236599693,0.860613176938672,255380.31527651625,1.0,,
6,"LIVING_AREA, LAND_SF, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7958027245122279,0.274064032624512,0.8586595467223684,257781.7260810565,1.0,,
6,"LIVING_AREA, RES_FLOOR, YR_BUILT, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.7957830429941087,0.2740772401128158,0.8577114927142848,256794.2670507779,1.0,,
5,"LIVING_AREA, RES_FLOOR, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.792984404578865,0.2759488599391699,0.8566782334157186,259705.48036673234,1.0,,
6,"LIVING_AREA, INT_COND, OVERALL_COND, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8026482286645785,0.26943101457978313,0.8559321276576224,255935.4388983208,1.0,,
6,"LU, LIVING_AREA, LAND_SF, BLDG_TYPE, neighborhood_walkability, neighborhood_name",55188,13797,0.8057826263599124,0.26728286053881883,0.8547084759253941,250284.06299171853,1.0,,
