TOTAL_VALUE,LU,LIVING_AREA,LAND_SF,GROSS_AREA,INT_COND,OVERALL_COND,RES_FLOOR,YR_BUILT,BLDG_TYPE,neighborhood_walkability,emp_dist_m,median_hh_income,neighborhood_name
761500.0,R2,2448.0,5000.0,3704.0,G - Good,G - Good,2.0,2007.0,TF - Two Fam Stack,79.63,9759.74869409248,93225.0,Hyde Park
975700.0,R3,4851.0,2765.0,6668.0,G - Good,A - Average,3.0,1905.0,SD - Semi-Det,72.37,3947.9089039506944,47691.0,Dorchester
1111300.0,CM,2256.0,6000.0,2256.0,A - Average,A - Average,2.0,1999.0,FS - Free Standing,72.18,2809.4502247855044,93326.0,Brighton
957400.0,R2,2487.0,3360.0,3951.0,A - Average,A - Average,2.0,1915.0,TF - Two Fam Stack,83.42,3037.464474836644,93326.0,Brighton
802200.0,R3,3144.2,5000.0,5408.0,A - Average,A - Average,2.0,1900.0,CV - Conventional,72.5,7983.36712822251,93225.0,Hyde Park
619800.0,R1,2016.8,4528.0,3638.0,A - Average,A - Average,2.0,1919.0,CL - Colonial,78.65,8178.130806688922,93225.0,Hyde Park
804500.0,R1,2604.0,6548.0,4196.0,G - Good,G - Good,2.0,1940.0,CL - Colonial,57.86,6922.922876272538,93452.0,Mattapan
654500.0,R2,2350.0,3826.0,3878.0,A - Average,A - Average,2.0,1910.0,TF - Two Fam Stack,75.81,7185.560800082028,93452.0,Mattapan
683900.0,R1,2088.0,3372.0,3556.0,A - Average,G - Good,2.0,1900.0,CL - Colonial,59.96,5225.829167308833,97540.0,Roslindale
758000.0,R2,3653.0,4965.0,5897.0,A - Average,A - Average,2.5,1905.0,CV - Conventional,72.73,2461.401535102508,70341.0,Roxbury
867800.0,R2,3367.0,6265.0,5334.0,G - Good,A - Average,2.0,1900.0,TF - Two Fam Stack,84.1,3901.032278659279,44676.0,Dorchester
1483900.0,R3,3540.0,3473.0,5539.0,G - Good,G - Good,3.0,1910.0,DK - Decker,87.74,3739.945643145368,129732.0,Dorchester
1088200.0,R1,2946.8,6995.0,4690.0,A - Average,A - Average,2.5,1900.0,CL - Colonial,75.53,4244.011068933248,67594.0,Dorchester
